sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
NA19718	female	SAME124444	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00515	male			French		Europe 
HGDP00607	female			Bedouin		Middle East 
NA19720	male	SAME124118	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00382	male			Burusho		Central South Asia 
HGDP00614	female			Bedouin		Middle East 
NA19725	female	SAME124689	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00402	male			Burusho		Central South Asia 
HGDP00619	male			Bedouin		Middle East 
NA19732	male	SAME124778	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00407	male			Burusho		Central South Asia 
HGDP00621	male			Bedouin		Middle East 
NA19737	female	SAME124872	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00433	male			Burusho		Central South Asia 
HGDP00626	male			Bedouin		Middle East 
NA19749	female	SAME124726	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00438	male			Burusho		Central South Asia 
HGDP00520	female			French		Europe 
NA19751	male	SAME123699	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00445	male			Burusho		Central South Asia 
HGDP00525	male			French		Europe 
NA19756	male	SAME123696	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00452	male			Biaka		Africa 
HGDP00537	female			French		Europe 
NA19143	female	SAME124609	YRI	Yoruba	AFR	African Ancestry
HGDP00243	male			Pathan		Central South Asia 
HGDP00544	female			Papuan Sepik		Oceania 
NA19148	female	SAME124606	YRI	Yoruba	AFR	African Ancestry
HGDP00248	male			Pathan		Central South Asia 
HGDP00575	female			Druze		Middle East 
NA19150	male	SAME124838	YRI	Yoruba	AFR	African Ancestry
HGDP00262	male			Pathan		Central South Asia 
HGDP00582	female			Druze		Middle East 
NA19174	male	SAME124882	YRI	Yoruba	AFR	African Ancestry
HGDP00274	female			Kalash		Central South Asia 
HGDP00587	female			Druze		Middle East 
NA19186	male	SAME123861	YRI	Yoruba	AFR	African Ancestry
HGDP00279	male			Kalash		Central South Asia 
HGDP00594	male			Druze		Middle East 
NA19198	male	SAME124049	YRI	Yoruba	AFR	African Ancestry
HGDP00281	male			Kalash		Central South Asia 
HGDP00599	male			Druze		Middle East 
NA19201	female	SAME122990	YRI	Yoruba	AFR	African Ancestry
HGDP00173	male			Sindhi		Central South Asia 
HGDP00638	female			Bedouin		Middle East 
NA19206	female	SAME122983	YRI	Yoruba	AFR	African Ancestry
HGDP00185	male			Sindhi		Central South Asia 
HGDP00640	male			Bedouin		Middle East 
NA18873	female	SAME123536	YRI	Yoruba	AFR	African Ancestry
HGDP00192	female			Sindhi		Central South Asia 
HGDP00645	male			Bedouin		Middle East 
NA18878	female	SAME125107	YRI	Yoruba	AFR	African Ancestry
HGDP00197	male			Sindhi		Central South Asia 
HGDP00981	male			Biaka		Africa 
NA18912	female	SAME123404	YRI	Yoruba	AFR	African Ancestry
HGDP00205	male			Sindhi		Central South Asia 
HGDP00986	male			Biaka		Africa 
NA18917	male	SAME123407	YRI	Yoruba	AFR	African Ancestry
HGDP00224	male			Pathan		Central South Asia 
HGDP00993	male			Bantu South Africa		Africa 
NA18924	female	SAME123202	YRI	Yoruba	AFR	African Ancestry
HGDP00298	female			Kalash		Central South Asia 
HGDP01009	male			Karitiana		America 
NA18943	male	SAME124309	JPT	Japanese	EAS	East Asian Ancestry
HGDP00313	male			Kalash		Central South Asia 
HGDP01023	female			Han		East Asia 
NA19097	female	SAME123168	YRI	Yoruba	AFR	African Ancestry
HGDP00351	male			Burusho		Central South Asia 
HGDP00823	male			Bougainville		Oceania 
NA19100	female	SAME125401	YRI	Yoruba	AFR	African Ancestry
HGDP00356	female			Burusho		Central South Asia 
HGDP00828	male			Japanese		East Asia 
NA19105	female	SAME125389	YRI	Yoruba	AFR	African Ancestry
HGDP00104	male			Hazara		Central South Asia 
HGDP00854	female			Maya		America 
NA19117	male	SAME124914	YRI	Yoruba	AFR	African Ancestry
HGDP00109	male			Hazara		Central South Asia 
HGDP00859	female			Maya		America 
NA19129	female	SAME125021	YRI	Yoruba	AFR	African Ancestry
HGDP00130	male			Makrani		Central South Asia 
HGDP00861	female			Maya		America 
NA19131	female	SAME125230	YRI	Yoruba	AFR	African Ancestry
HGDP00135	male			Makrani		Central South Asia 
HGDP00929	male			Yoruba		Africa 
NA20359	female	SAME124601	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00154	female			Makrani		Central South Asia 
HGDP00931	male			Yoruba		Africa 
NA20361	female	SAME124785	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00161	male			Makrani		Central South Asia 
HGDP00943	male			Yoruba		Africa 
NA20412	female	SAME124002	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00060	male			Balochi		Central South Asia 
